Bengali,English
0x985,ô
0x986,ā
0x987,i
0x988,ī
0x989,u
0x98A,ū
0x98B,ri
0x98C,li
0x98F,e
0x990,oi
0x993,o
0x994,ou
0x995,k
0x996,kh
0x997,g
0x998,gh
0x999,ṅ
0x99A,c
0x99B,ch
0x99C,j
0x99D,jh
0x99E,ñ
0x99F,ṭ
0x9A0,ṭh
0x9A1,ḍ
0x9A2,ḍh
0x9A3,ṇ
0x9A4,t
0x9A5,th
0x9A6,d
0x9A7,dh
0x9A8,n
0x9AA,p
0x9AB,ph
0x9AC,b
0x9AD,bh
0x9AE,m
0x9AF,j
0x9B0,r
0x9B2,l
0x9B6,ś
0x9B7,ṣ
0x9B8,s
0x9B9,h
0x9DF,ẏ
0x9DC,ṛ
0x9DD,ṛh
0x9CE,t
0x982,ṅ
0x983,ḥ
0x981,ṃ
0x9BE,ā
0x9BF,i
0x9C0,ī
0x9C1,u
0x9C2,ū
0x9C3,ri
0x9E2,li
0x9C7,e
0x9C8,oi
0x9CB,o
0x9CC,ou
